Constituency,Constituency Name,District,Lok Sabha,Constituency Category
1,Narela,North Delhi,North West Delhi,GEN
2,Burari,North Delhi,North East Delhi,GEN
3,Timarpur,North Delhi,North East Delhi,GEN
4,Adarsh Nagar,North Delhi,Chandni Chowk,GEN
5,Badli,North Delhi,North West Delhi,GEN
6,Rithala,North West Delhi,North West Delhi,GEN
7,Bawana,North Delhi,North West Delhi,SC
8,Mundka,North West Delhi,North West Delhi,GEN
9,Kirari,North West Delhi,North West Delhi,GEN
10,Sultan Pur Majra,North West Delhi,North West Delhi,SC
11,Nangloi Jat,West Delhi,North West Delhi,GEN
12,Mangol Puri,North West Delhi,North West Delhi,SC
13,Rohini,North Delhi,North West Delhi,GEN
14,Shalimar Bagh,North West Delhi,Chandni Chowk,GEN
15,Shakur Basti,North Delhi,Chandni Chowk,GEN
16,Tri Nagar,North West Delhi,Chandni Chowk,GEN
17,Wazirpur,North Delhi,Chandni Chowk,GEN
18,Model Town,North Delhi,Chandni Chowk,GEN
19,Sadar Bazar,Central Delhi,Chandni Chowk,GEN
20,Chandni Chowk,Central Delhi,Chandni Chowk,GEN
21,Matia Mahal,Central Delhi,Chandni Chowk,GEN
22,Ballimaran,Central Delhi,Chandni Chowk,GEN
23,Karol Bagh,Central Delhi,New Delhi,SC
24,Patel Nagar,West Delhi,New Delhi,SC
25,Moti Nagar,West Delhi,New Delhi,GEN
26,Madipur,West Delhi,West Delhi,SC
27,Rajouri Garden,West Delhi,West Delhi,GEN
28,Hari Nagar,West Delhi,West Delhi,GEN
29,Tilak Nagar,West Delhi,West Delhi,GEN
30,Janakpuri,West Delhi,West Delhi,GEN
31,Vikaspuri,West Delhi,West Delhi,GEN
32,Uttam Nagar,West Delhi,West Delhi,GEN
33,Dwarka,West Delhi,West Delhi,GEN
34,Matiala,West Delhi,West Delhi,GEN
35,Najafgarh,West Delhi,West Delhi,GEN
36,Bijwasan,West Delhi,South Delhi,GEN
37,Palam,West Delhi,South Delhi,GEN
38,Delhi Cantonment,New Delhi,New Delhi,GEN
39,Rajinder Nagar,New Delhi,New Delhi,GEN
40,New Delhi,New Delhi,New Delhi,GEN
41,Jangpura,South East Delhi,East Delhi,GEN
42,Kasturba Nagar,South East Delhi,New Delhi,GEN
43,Malviya Nagar,South Delhi,New Delhi,GEN
44,R K Puram,New Delhi,New Delhi,GEN
45,Mehrauli,South Delhi,South Delhi,GEN
46,Chhatarpur,South Delhi,South Delhi,GEN
47,Deoli,South Delhi,South Delhi,SC
48,Ambedkar Nagar,South Delhi,South Delhi,SC
49,Sangam Vihar,South East Delhi,South Delhi,GEN
50,Greater Kailash,South East Delhi,New Delhi,GEN
51,Kalkaji,South East Delhi,South Delhi,GEN
52,Tughlakabad,South East Delhi,South Delhi,GEN
53,Badarpur,South East Delhi,South Delhi,GEN
54,Okhla,South East Delhi,South East Delhi,GEN
55,Trilokpuri,East Delhi,East Delhi,SC
56,Kondli,East Delhi,East Delhi,SC
57,Patparganj,East Delhi,East Delhi,GEN
58,Laxmi Nagar,East Delhi,East Delhi,GEN
59,Vishwas Nagar,Shahdara,East Delhi,GEN
60,Krishna Nagar,East Delhi,East Delhi,GEN
61,Gandhi Nagar,East Delhi,East Delhi,GEN
62,Shahdara,Shahdara,East Delhi,GEN
63,Seemapuri,Shahdara,East Delhi,SC
64,Rohtas Nagar,Shahdara,East Delhi,GEN
65,Seelampur,North East Delhi,North East Delhi,GEN
66,Ghonda,North East Delhi,North East Delhi,GEN
67,Babarpur,Shahdara,North East Delhi,GEN
68,Gokalpur,North East Delhi,North East Delhi,SC
69,Mustafabad,North East Delhi,North East Delhi,GEN
70,Karawal Nagar,North East Delhi,North East Delhi,GEN
