Name,Color,Abb
Aam Aadmi Parivartan Party,,AAPP
Aam Aadmi Party,#0072B0,AAP
Aam Aadmi Sangharsh Party (S),,AASP(S)	
Aam Janmat Party,,AJP
Aam Janshakti Party,,AJSP
Aam Janta Party (India),,AJP(I)
Aapki Apni Party (Peoples),,AAP(P)
AJSU Party,#6827B5,AJSU
Akhil Bharatiya Socialist Party,,ABSP
All India Anna Dravida Munnetra Kazhagam,#009933,AIADMK
All India Forward Bloc,#AC1313,AIFB
All India Majlis-E-Ittehadul Muslimeen,#0C6B4B,AIMIM
All India Trinamool Congress,#20C646,AITC
All India United Democratic Front,#348017,AIUDF
All Jharkhand Students Union,#6827B5,AJSU
Amma Makkal Munnettra Kazhagam,#034F38,AMMK
Apna Dal (Soneylal),#27176D,AD(S)
Asom Gana Parishad,#99CCFF,AGP
Assam Jatiya Parishad,#0048BA,AJP
Azad Samaj Party (Kanshi Ram),#003597,ASP(KR)
Aazad Samaj Party (Kanshi Ram),#003597,ASP(KR)
Bahujan Samaj Party,#22409A,BSP
Bharat Adivasi Party,#FF0000,BAP
Bharat Rashtra Samithi,#F84996,BRS
Bharath Dharma Jana Sena,#880404,BDJS
Bharatiya Janata Party,#FF9933,BJP
Bharatiya Sampuran Krantikari Party,,BSKP
Bhartiya Rashtrawadi Party,,BRP
Biju Janata Dal,#70A548,BJD
Bodoland People's Front,#FF6600,BPF
Communist Party of India,#CB0922,CPI
Communist Party of India (Marxist),#CC0D0D,CPI(M)
Communist Party of India (Marxist-Leninist) Liberation,#C41301,CPI(ML)L
Communist Party of India (Marxist-Leninist) (Liberation),#C41301,CPI(ML)L
Communist Party of India (Marxist-Lennist Liberation),#C41301,CPI(ML)L
Desiya Murpokku Dravida Kazhagam,#FFEA19,DMDK
Dravida Munnetra Kazhagam,#FF0D0D,DMK
Gondwana Ganatantra Party,#880484,GGP
Hindustani Awam Morcha (Secular),#F5D62A,HAM(S)
Independent,#DCDCDC,IND
Independents,#DCDCDC,IND
Indian National Congress,#19AAED,INC
Indian National Lok Dal,#336600,INLD
Indian Union Muslim League,#006600,IUML
Jai Maha Bharath Party,,JMBP
Jammu and Kashmir National Conference,#FE0000,JKNC
Jammu and Kashmir National Panthers Party,#060950,JKNPP
Jammu and Kashmir Peoples Democratic Party,#058532,JKPDP
Jana Sena Party,#CA420F,JSP
Janasena Party,#CA420F,JSP
Janata Dal,#2E8B57,JD
Janata Dal (Secular),#02865A,JD(S)
Janata Dal (United),#003366,JD(U)
Janata Party,#2074FC,JP
Janata Party (Secular),#08048C,JP(S)
Jannayak Janta Party,#026D37,JJP
Jharkhand Mukti Morcha,#337316,JMM
Karnataka Rashtra Samithi,#FBD803,KRS
Kerala Congress,#CC6600,KEC
Kerala Congress (Mani),#F48385,KC(M)
Kongunadu Makkal Desia Katchi,#17560A,KMDK
Lok Jan Shakti Party (Ram Vilas),#5B006A,LJP(RV)
Lok Janshakti Party (Ram Vilas),#5B006A,LJP(RV)
Marumalarchi Dravida Munnetra Kazhagam,#FC0000,MDMK
Mizo National Front,#2E5694,MNF
Naga People's Front,#1717CC,NPF
National Loktantrik Party,#908484,NLP
National People's Party,#FFCA61,NPP
National Youth Party,,NYP
Nationalist Congress Party,#00B2B2,NCP
Nationalist Congress Party - Sharadchandra Pawar,#0029B0,NCP(SP)
Nationalist Congress Party (Sharadchandra Pawar),#0029B0,NCP(SP)
Nationalist Democratic Progressive Party,#ED1B24,NDPP
Nationalist Democratic Progressive Party,#ED1B24,NDPP
New India United Party,,NIUP
None of the above,#FFFFFF,NOTA
None of the Above,#FFFFFF,NOTA
Pattali Makkal Katchi,#FFFF00,PMK
Peace Party,,PP
Peoples Party of India (Democratic),,PPI(D)
Rachnatmak Jan Morcha,,RJM
Rashtriya Janata Dal,#056D05,RJD
Rashtriya Janshakti Party (Secular),,RJP(S)
Rashtriya Lok Dal,#006400,RLD
Rashtriya Lok Morcha,#100CA4,RLM
Rashtriya Loktantrik Party,#FFD42A,RLP
Rashtriya Manav Party,,RMP
Rashtriya Samaj Paksha,#FFFC04,RSPS
Revolutionary Goans Party,#E3C773,RGP
Revolutionary Socialist Party,#D84C4C,RSP
Right to Recall Party,,RRP
Samajwadi Janata Party (Rashtriya),#74C365,SJP(R)
Samajwadi Party,#FF2222,SP
Shiromani Akali Dal,#0F204A,SAD
Shiromani Akali Dal (Amritsar),#FFCF00,SAD(A)
Shiv Sena,#F37020,SHS
Shiv Sena (Uddhav Balasaheb Thackrey),#FD7D24,SS(UBT)
Sikkim Democratic Front,#FBEC5D,SDF
Sikkim Krantikari Morcha,#ED1E26,SKM
Suheldev Bharatiya Samaj Party,#F5D50A,SBSP
Tamil Maanila Congress (Moopanar),#FF8D33,TMC(M)
Telugu Desam Party,#FFED00,TDP
United Democratic Party (Meghalaya),#FE0002,UDP
United Peoples Party Liberal,#FAED09,UPPL
United People's Party Liberal,#FAED09,UPPL
Uttama Prajaakeeya Party,#E3889D,UPP
Viduthalai Chiruthaigal Katchi,#1E90FF,VCK
Vikassheel Insaan Party,#0000FF,VIP
Voice of the People Party,#0044FF,VPP
YSR Congress Party,#1569C7,YSRCP
Yuva Bharat Rashtraseva Party,,YBRP
Yuvajana Sramika Rythu Congress Party,#1569C7,YSRCP
Zoram Peoples Movement,#FFF700,ZPM
Zoram People's Movement,#FFF700,ZPM
